type,sequence
train,49-50-49-50-49-50-49-50-45-49-50-46
test,17-18
train,49-5-50-49-50-6-49-50-49-50-49-50-3-5-6-5-4
train,6-45-5-46
train,6-5-45-6-5-6-5-6-5-6-5-6-46
train,45-5-6-5-6-5-6-5-6-5-6-5-6-5-6-36-5-6-5-6-5-6-5-6-5-6-5-6-5-6-5-6-0-2-49-50-49-50-49-50-49-50-49-50-5-49-50-6-5-6-5-6-46
train,45-5-6-5-6-46
train,45-5-6-5-6-46
train,49-50-49-50-49-50-45-49-50-46
train,5-45-6-46
train,17-5-6-18
train,5-6-51-5-51-49-6-50-49-5-6-50-44-52-52-44-44-44-44-44-0-2-0-2-44-52-52-44-44-44-44-44-51-5-51-51-6-5-3-4
validation,51-0-3-2-0-2-0-2-0-2-0-2-6-5-4
train,6-3-4
train,17-5-6-18
validation,22-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-5-0-2-0-6-2-0-2-0-2-0-2-0-2-0-2-0-2-5-3-6-5-6-4
train,3-5-6-4
train,1-53-1-1-1-3-4
validation,3-4
train,3-4
train,3-4
validation,3-4
train,3-36-28-35-4
train,3-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-21-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-4
train,20-20-20-20-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-54-3-5-6-5-6-4
train,3-4
train,3-5-6-4
train,3-4
train,15-40-40-41-5-3-6-9-35-34-35-5-35-6-29-4
train,17-18
train,3-35-4
train,3-4
train,3-36-7-7-7-7-4
validation,3-4
train,3-4
train,3-4
validation,3-4
train,3-4
test,3-4
train,3-4
test,3-4
train,3-4
validation,5-3-6-4
train,0-3-2-0-2-5-0-2-6-4
train,29-35-3-35-4
train,17-0-2-5-6-18
train,3-5-6-36-4
train,3-4
train,5-3-4
train,3-6-4
train,3-4
train,3-4
validation,3-5-6-4
train,5-3-6-4
train,3-4
train,17-18
train,3-4
validation,17-18
train,3-5-6-4
train,17-18
train,3-5-6-28-29-28-29-4
train,17-18
validation,3-4
